IATA,Long,Lat
AMS,4.76389,52.3086
FAO,-7.96591,37.0144
AMS,4.76389,52.3086
SVQ,-5.89311,37.418
AMS,4.76389,52.3086
AGP,-4.49911,36.6749
AMS,4.76389,52.3086
SKG,22.9709,40.5197
AMS,4.76389,52.3086
VRN,10.8885,45.3957
AMS,4.76389,52.3086
DLM,28.7925,36.7131
AMS,4.76389,52.3086
BCN,2.07846,41.2971
AMS,4.76389,52.3086
AMS,4.76389,52.3086
BCN,2.07846,41.2971
AMS,4.76389,52.3086
AMS,4.76389,52.3086
AGP,-4.49911,36.6749
AMS,4.76389,52.3086
AMS,4.76389,52.3086
JTR,25.4793,36.3992
AMS,4.76389,52.3086
EFL,20.5005,38.1201
AMS,4.76389,52.3086
ZTH,20.8843,37.7509
BRU,4.48444,50.9014
AGP,-4.49911,36.6749
BRU,4.48444,50.9014
ALC,-0.55816,38.2822
AMS,4.76389,52.3086
EFL,20.5005,38.1201
AMS,4.76389,52.3086
VRN,10.8885,45.3957
AMS,4.76389,52.3086
AMS,4.76389,52.3086
AMS,4.76389,52.3086
FAO,-7.96591,37.0144
AMS,4.76389,52.3086
SKG,22.9709,40.5197
AMS,4.76389,52.3086
VLC,-0.48162,39.4893
AMS,4.76389,52.3086
AMS,4.76389,52.3086
AOK,27.146,35.4214
AMS,4.76389,52.3086
LIS,-9.13592,38.7813
AMS,4.76389,52.3086
SVQ,-5.89311,37.418
AMS,4.76389,52.3086
AGP,-4.49911,36.6749
BRU,4.48444,50.9014
FAO,-7.96591,37.0144
BRU,4.48444,50.9014
HER,25.1803,35.3397
AMS,4.76389,52.3086
IBZ,1.37312,38.8729
AMS,4.76389,52.3086
CTA,15.0664,37.4668
AMS,4.76389,52.3086
ORY,2.35944,48.7253
AMS,4.76389,52.3086
AMS,4.76389,52.3086
FAO,-7.96591,37.0144
AMS,4.76389,52.3086
HER,25.1803,35.3397
AMS,4.76389,52.3086
ZTH,20.8843,37.7509
AMS,4.76389,52.3086
AMS,4.76389,52.3086
ALC,-0.55816,38.2822
BRU,4.48444,50.9014
FAO,-7.96591,37.0144
AMS,4.76389,52.3086
PFO,32.4857,34.718
AMS,4.76389,52.3086
FUE,-13.8638,28.4527
AMS,4.76389,52.3086
SVQ,-5.89311,37.418
AMS,4.76389,52.3086
SVQ,-5.89311,37.418
AMS,4.76389,52.3086
KGS,27.0917,36.7933
AMS,4.76389,52.3086
ATH,23.9445,37.9364
AMS,4.76389,52.3086
RIX,23.9711,56.9236
AMS,4.76389,52.3086
AGP,-4.49911,36.6749
BRU,4.48444,50.9014
IBZ,1.37312,38.8729
BRU,4.48444,50.9014
AGP,-4.49911,36.6749
BRU,4.48444,50.9014
AMS,4.76389,52.3086
AMS,4.76389,52.3086
AMS,4.76389,52.3086
NCE,7.21587,43.6584
AMS,4.76389,52.3086
RAK,-8.0363,31.6069
AMS,4.76389,52.3086
